Index,Color,Talking,Camera X,Camera Y,Camera Z,Combine Gaze X,Combine Gaze Y,Combine Gaze Z,Left Pupil Diameter,Right Pupil Diameter,Left Eye Openness,Right Eye Openness,Total Time,Delta Time
0,Green,False,-0.04363626,-0.08476673,0.9954449,0.00216675,-0.03114322,0.9995126,2.793167,2.793167,1,1,1.152893,0.02191162
0,Green,False,-0.04452135,-0.08331782,0.995528,0.001174941,-0.02931249,0.9995696,2.77951,2.77951,1,1,1.174609,0.02171624
0,Green,False,-0.04483916,-0.08297271,0.9955425,-0.0008392386,-0.03103657,0.9995179,2.774216,2.774216,1,1,1.197511,0.02290142
0,Green,False,-0.04500895,-0.08260055,0.9955658,-0.001647973,-0.03073165,0.9995263,2.760849,2.760849,1,1,1.219485,0.02197409
0,Green,False,-0.04432274,-0.08279712,0.9955803,-0.005752633,-0.02285794,0.9997222,2.646118,2.646118,1,1,1.24141,0.02192533
0,Green,False,-0.04399745,-0.08325846,0.9955563,-0.002380373,-0.02577211,0.999665,2.650345,2.650345,1,1,1.263666,0.02225602
0,Green,False,-0.04397635,-0.08378582,0.995513,-0.002639773,-0.02389528,0.999711,2.657394,2.657394,1,1,1.286598,0.02293146
0,Green,False,-0.04426508,-0.08426967,0.9954593,-0.01112368,-0.02265934,0.9996814,2.658524,2.658524,1,1,1.308217,0.0216198
0,Green,False,-0.04524992,-0.08456598,0.9953899,-0.01084913,-0.02233914,0.9996916,2.647232,2.647232,1,1,1.330139,0.02192116
0,Green,False,-0.04614935,-0.0847151,0.9953359,-0.01066603,-0.02168302,0.999708,2.630371,2.630371,1,1,1.352204,0.0220654
0,Green,False,-0.04738206,-0.08467163,0.9952817,-0.01086428,-0.02209477,0.9996969,2.576019,2.576019,1,1,1.375072,0.02286792
0,Green,False,-0.04919745,-0.08449809,0.9952084,-0.01124575,-0.02258306,0.9996817,2.558548,2.558548,1,1,1.396997,0.02192509
0,Green,False,-0.05089551,-0.08447739,0.9951248,-0.01200875,-0.02397172,0.9996405,2.541779,2.541779,1,1,1.418874,0.02187717
