Color,Camera X,Camera Y,Camera Z,Combine Gaze X,Combine Gaze Y,Combine Gaze Z,Left Pupil Diameter,Right Pupil Diameter,Left Eye Openness,Right Eye Openness,Total Time,Delta Time
Blue,0.05689533,-0.1549914,0.9862761,0,0,1,0,0,0,0,0,0
Blue,0.05689533,-0.1549914,0.9862761,-0.0485079,0.07890354,0.9957014,5.46106,5.46106,1,1,0.02,0.02
Blue,0.07211501,-0.1664441,0.9834103,-0.07214463,0.07840083,0.9943081,5.439651,5.439651,1,1,0.3533334,0.3333333
Blue,0.086877,-0.1644282,0.9825557,-0.07699665,0.07963645,0.9938458,5.354919,5.354919,1,1,0.380216,0.02688268
Blue,0.07813445,-0.1649383,0.9832042,-0.07167071,0.07743854,0.9944177,5.394821,5.394821,1,1,0.4044867,0.02427062
Blue,0.06901394,-0.1624835,0.9842948,-0.06822225,0.06756613,0.9953796,5.275497,5.275497,1,1,0.4234507,0.01896408
Blue,0.05954016,-0.156755,0.9858412,-0.05824365,0.0722972,0.995681,5.462601,5.462601,1,1,0.444663,0.02121231
Blue,0.04969466,-0.150953,0.987291,-0.002059941,0.1043398,0.9945396,5.403503,5.403503,1,1,0.464956,0.020293
Blue,0.04030177,-0.1457922,0.988494,-0.00650032,0.09913751,0.9950525,5.406052,5.406052,1,1,0.489812,0.02485591
Blue,0.03201433,-0.1413383,0.9894435,-0.01200871,0.08882172,0.9959751,5.33432,5.33432,1,1,0.5087947,0.01898277
Blue,0.02374057,-0.1344285,0.9906389,0.02561957,0.09155296,0.9954706,5.306396,5.306396,1,1,0.5352467,0.026452
Blue,0.01630003,-0.127527,0.9917012,0.02053852,0.08380204,0.9962707,5.174576,5.174576,1,1,0.5536222,0.01837552
Blue,0.01009495,-0.1227206,0.9923899,0.01110846,0.07798807,0.9968924,5.023712,5.023712,1,1,0.5784888,0.02486652
Blue,0.002955723,-0.120045,0.9927641,-0.08102468,0.03578209,0.9960696,4.900574,4.900574,1,1,0.5969172,0.01842839
Blue,-0.005528731,-0.1150645,0.9933426,-0.08746453,0.04304561,0.9952372,4.790405,4.790405,1,1,0.622214,0.02529687
Blue,-0.01479014,-0.1089863,0.9939332,-0.04858448,0.03659095,0.9981486,4.690567,4.690567,1,1,0.6419293,0.01971525
Blue,-0.02486868,-0.103932,0.9942734,-0.04275569,0.03950553,0.9983042,4.734192,4.734192,1,1,0.6685156,0.02658635
Blue,-0.0342395,-0.09933195,0.9944651,-0.03521769,0.03103673,0.9988976,4.511353,4.511353,1,1,0.685149,0.01663339
Blue,-0.04331604,-0.09374029,0.994654,-0.02406314,0.02702335,0.9993451,4.512177,4.512177,1,1,0.7127126,0.02756363
Blue,-0.05058112,-0.08921833,0.994727,-0.01738001,0.02418552,0.9995564,4.355179,4.355179,1,1,0.7291408,0.01642811
Blue,-0.0561816,-0.08667438,0.9946513,-0.01577765,0.01182561,0.9998056,4.242294,4.242294,1,1,0.7547075,0.0255667
Blue,-0.06043483,-0.08384025,0.9946449,0.006347675,0.01951605,0.9997894,4.17955,4.17955,1,1,0.7760723,0.02136487
Blue,-0.06331704,-0.07876154,0.9948807,0.0205539,0.02354467,0.9995115,4.329681,4.329681,1,1,0.8007807,0.02470839
Blue,-0.06493165,-0.07222661,0.9952725,0.01550305,0.01188669,0.9998091,4.178955,4.178955,1,1,0.819894,0.01911324
Blue,-0.066207,-0.06511046,0.9956793,0.01338204,0.007217454,0.9998844,3.92276,3.92276,1,1,0.8443871,0.02449316
Blue,-0.06668139,-0.05799553,0.9960874,-0.001632707,-0.006164614,0.9999797,3.928329,3.928329,1,1,0.8645067,0.02011961
Blue,-0.06664563,-0.0502172,0.9965122,0.0004882821,-0.005203255,0.9999864,3.9095,3.9095,1,1,0.8906502,0.02614343
Blue,-0.06561489,-0.04181648,0.9969684,0.0009155332,-0.006881758,0.9999759,3.882584,3.882584,1,1,0.9106258,0.01997566
Blue,-0.06374189,-0.03414262,0.9973822,0.005661032,-0.007217434,0.9999579,3.867126,3.867126,1,1,0.9339054,0.02327961
Blue,-0.06188961,-0.02704322,0.9977165,0.006851211,-0.02090459,0.999758,3.677567,3.677567,1,1,0.9537987,0.01989323
Blue,-0.05985262,-0.0229039,0.9979444,0.01773076,-0.02441412,0.9995447,3.676666,3.676666,1,1,0.9783469,0.02454829
Blue,-0.05907463,-0.02297076,0.9979892,-0.04374698,-0.1718751,0.9841469,3.665543,3.665543,0.7950985,1,0.9960895,0.01774257
Blue,-0.05832989,-0.02999076,0.9978468,-0.05285688,-0.2370015,0.9700704,3.593063,3.593063,0.1566766,1,1.023393,0.02730352
