Color,Camera X,Camera Y,Camera Z,Combine Gaze X,Combine Gaze Y,Combine Gaze Z,Left Pupil Diameter,Right Pupil Diameter,Left Eye Openness,Right Eye Openness,Total Time,Delta Time
Black,-0.1271931,-0.03388064,0.9912992,0,0,1,0,0,0,0,0,0
Black,-0.1271931,-0.03388064,0.9912992,-0.03747621,-0.1609371,0.9862529,5.994202,5.994202,0.7855603,0.343934,0.02,0.02
Black,0.08285712,0.3553044,0.9310712,-0.05809047,-0.2372905,0.9697003,5.431747,5.431747,0.9658189,0.4561132,0.3508708,0.3308708
Black,0.0663717,0.2929903,0.953809,-0.04850812,-0.1633468,0.9853755,6.068298,6.068298,0.9451854,0.4883322,0.3893171,0.03844631
Black,0.06426333,0.2895149,0.9550138,-0.02851876,-0.1690984,0.9851865,5.819229,5.819229,0.975114,0.5184986,0.4154414,0.0261243
Black,0.06127178,0.2878741,0.9557061,-0.05041565,-0.2039209,0.9776883,5.608536,5.608536,0.9634166,0.5652858,0.4360134,0.02057201
Black,0.05796423,0.2868226,0.9562284,-0.02978544,-0.09994604,0.9945469,5.607529,5.607529,0.9949914,0.5569451,0.4606173,0.0246039
Black,0.05474272,0.2861871,0.9566087,-0.00898743,-0.02490235,0.9996495,5.657425,5.657425,1,0.60031,0.4783646,0.01774728
Black,0.05215188,0.2847609,0.9571789,0.01074224,-0.03399675,0.9993642,5.728806,5.728806,1,0.6405233,0.5027166,0.02435201
Black,0.04968923,0.281511,0.9582705,-0.02690134,-0.09233126,0.9953649,5.715546,5.715546,1,0.6812479,0.5230439,0.02032727
Black,0.04686844,0.2764304,0.9598904,-0.02212529,-0.08329792,0.9962791,5.709717,5.709717,1,0.7083362,0.5474114,0.02436751
Black,0.04365504,0.2704594,0.9617411,-0.01672382,-0.03987165,0.9990649,5.880768,5.880768,1,0.7525352,0.5672398,0.01982844
Black,0.04031612,0.2638816,0.9637122,-0.02020292,-0.04960702,0.9985645,5.571884,5.571884,1,0.7448534,0.5914306,0.02419078
Black,0.03640378,0.2565652,0.9658411,-0.03247115,-0.1779505,0.9835036,5.321823,5.321823,1,0.7784277,0.6106468,0.01921618
Black,0.03226386,0.2481068,0.9681953,0.03051766,-0.063492,0.9975156,5.849808,5.849808,1,0.7400518,0.638275,0.02762824
Black,0.02647705,0.2385529,0.9707685,0.1730214,0.3509562,0.9202681,6.0616,6.0616,1,0.7632709,0.6565694,0.01829439
Black,0.02156601,0.2270876,0.9736355,0.01828016,-0.2361314,0.9715492,5.260025,5.260025,1,0.7894164,0.683978,0.0274086
Black,0.01631261,0.2123636,0.9770545,-0.02177451,-0.257632,0.9659978,5.084824,5.084824,1,0.820385,0.7029049,0.01892686
Black,0.01147859,0.1947258,0.9807906,-0.0388032,-0.2444922,0.9688746,4.957321,4.957321,1,0.7319683,0.7250801,0.02217519
Black,0.004685669,0.1839117,0.9829316,-0.09480388,-0.2516049,0.9631756,4.849045,4.849045,1,0.7485012,0.7453224,0.02024233
Black,-0.005772036,0.1771892,0.9841599,-0.08783124,-0.238362,0.9671966,4.947037,4.947037,0.9608123,0.7291985,0.769376,0.02405357
Black,-0.01832419,0.1721152,0.9849064,-0.06684913,-0.2225965,0.972616,4.997879,4.997879,1,0.8192847,0.7886756,0.01929963
Black,-0.02897377,0.1675005,0.9854461,-0.04379338,-0.2134736,0.9759668,4.915421,4.915421,1,0.7696622,0.8142897,0.02561408
Black,-0.03585232,0.1583045,0.9867393,-0.02937343,-0.1970232,0.9799587,4.885666,4.885666,1,0.7966744,0.8337056,0.01941592
Black,-0.04245615,0.1454866,0.9884489,-0.01937874,-0.1861275,0.9823345,4.751785,4.751785,1,0.6705244,0.859493,0.02578741
Black,-0.0482216,0.13229,0.9900374,-0.0450597,-0.197161,0.9793351,4.63678,4.63678,1,0.6976238,0.8786827,0.01918966
Black,-0.05290541,0.1159165,0.9918489,-0.01902794,-0.1692221,0.9853942,4.631668,4.631668,1,0.6370363,0.9035545,0.02487183
Black,-0.05441406,0.09186459,0.9942836,-0.01063544,-0.1457528,0.9892639,4.615143,4.615143,1,0.6469839,0.9225013,0.01894683
Black,-0.05633725,0.0728347,0.9957516,-0.03277604,-0.1761636,0.9838151,4.588547,4.588547,1,0.6181306,0.9465078,0.02400649
Black,-0.05826739,0.06443794,0.9962192,-0.04158072,-0.1731284,0.9840212,4.587387,4.587387,1,0.6018503,0.9652433,0.01873547
Black,-0.05836556,0.05828671,0.9965923,-0.0413366,-0.1580221,0.9865699,4.530151,4.530151,1,0.6344845,0.992921,0.02767771
Black,-0.05868327,0.05060979,0.9969929,-0.0161897,-0.1321574,0.9910966,4.425293,4.425293,1,0.6608206,1.010815,0.01789403
Black,-0.05888068,0.0417335,0.9973923,0.01747141,-0.09390312,0.995428,4.356598,4.356598,1,0.6112531,1.036799,0.02598393
Black,-0.0588527,0.03061365,0.9977972,-0.04188591,-0.1708701,0.9844029,4.195267,4.195267,1,0.7481394,1.054121,0.0173223
Black,-0.0581134,0.01714054,0.9981629,-0.08573986,-0.2897974,0.9532398,4.156357,4.156357,0.9542342,0.5123002,1.081216,0.0270952
Black,-0.05682268,0.003879668,0.9983768,-0.105454,-0.3370378,0.9355667,4.159286,4.159286,0.7927856,0.1957036,1.098671,0.01745462
Black,-0.05553661,-0.004363243,0.9984471,-0.09072957,-0.2939632,0.9515008,4.127289,4.127289,0.7188841,0.1607059,1.124272,0.02560055
Black,-0.05415233,-0.008607907,0.9984956,-0.1280835,-0.3270904,0.9362726,4.086426,4.086426,0.7377337,0.281579,1.143852,0.01958048
Black,-0.05332001,-0.01003927,0.998527,-0.1344316,-0.3268474,0.9354672,4.110626,4.110626,0.7561445,0.2490718,1.169658,0.02580559
Black,-0.05241907,-0.01057133,0.9985692,-0.1236435,-0.3152657,0.9409143,4.096237,4.096237,0.777487,0.335727,1.188328,0.0186702
Black,-0.05128779,-0.01151839,0.9986175,-0.1195991,-0.3086566,0.9436244,4.096664,4.096664,0.7896369,0.3809168,1.213354,0.02502596
Black,-0.04974297,-0.01316481,0.9986753,-0.1189585,-0.3076351,0.9440389,4.038116,4.038116,0.7906247,0.4690435,1.233168,0.01981437
Black,-0.04716678,-0.0155849,0.9987655,-0.1264353,-0.308352,0.9428325,4.01709,4.01709,0.7964023,0.5381806,1.259676,0.02650726
Black,-0.04534313,-0.01621881,0.9988398,-0.1280379,-0.3076815,0.9428353,4.006729,4.006729,0.8205807,0.6180078,1.278497,0.01882124
Black,-0.04365829,-0.0156739,0.9989236,-0.1215224,-0.3046909,0.944667,3.997223,3.997223,0.8576629,0.5998921,1.303913,0.02541602
Black,-0.04256498,-0.01325167,0.9990058,-0.1146559,-0.3069646,0.9447892,3.960922,3.960922,0.8813631,0.6338016,1.321816,0.01790285
Black,-0.04196568,-0.008565479,0.9990823,-0.11635,-0.3017622,0.946257,3.935928,3.935928,0.873576,0.5929697,1.347452,0.02563667
Black,-0.04197108,-0.005201878,0.9991053,-0.1163196,-0.300908,0.9465327,3.889236,3.889236,0.8468717,0.5840361,1.365963,0.01851022
Black,-0.04306361,-0.003864126,0.9990649,-0.1243609,-0.3015332,0.9453106,3.733688,3.733688,0.8347896,0.5080492,1.393177,0.02721488
Black,-0.04300787,-0.003780827,0.9990675,-0.08358873,-0.1556722,0.9842658,3.831955,3.831955,0.7721894,0.2080726,1.41269,0.01951241
Black,-0.04113538,-0.004846856,0.9991419,-0.07158011,-0.03735411,0.9967352,3.730942,3.730942,0.829067,0.08649694,1.435918,0.02322853
Black,-0.03863371,-0.004924944,0.9992414,-0.07547081,-0.02832063,0.9967457,3.893387,3.893387,0.8594288,0.4741085,1.453913,0.01799428
