Index,Color,Camera X,Camera Y,Camera Z,Combine Gaze X,Combine Gaze Y,Combine Gaze Z,Left Pupil Diameter,Right Pupil Diameter,Left Eye Openness,Right Eye Openness,Total Time,Delta Time
0,Blue,-0.04494109,-0.04438909,0.998003,-0.00753788,-0.0818333,0.9966176,3.141907,3.141907,1,1,1.167673,0.02373827
0,Blue,-0.04541637,-0.04424458,0.9979879,-0.01045231,-0.08641089,0.9962048,3.145294,3.145294,1,1,1.188364,0.02069104
0,Blue,-0.04573599,-0.04465681,0.9979549,-0.00386053,-0.07679861,0.9970391,3.156601,3.156601,1,1,1.210925,0.02256095
0,Blue,-0.04629063,-0.04665628,0.9978378,-0.004623469,-0.07757663,0.9969757,3.149689,3.149689,1,1,1.233275,0.02235007
0,Blue,-0.04706822,-0.04929705,0.9976745,-0.00469972,-0.07611104,0.9970883,3.146622,3.146622,1,1,1.257623,0.02434754
0,Blue,-0.04759671,-0.05094295,0.9975667,-0.003860483,-0.0755617,0.9971337,3.140198,3.140198,1,1,1.2793,0.02167726
0,Blue,-0.04738923,-0.05113569,0.9975668,-0.003540043,-0.07478341,0.9971935,3.129639,3.129639,1,1,1.299884,0.02058351
0,Blue,-0.04706105,-0.05107788,0.9975852,-0.003494296,-0.07281564,0.9973393,3.114899,3.114899,1,1,1.321412,0.02152789
0,Blue,-0.04594818,-0.05121609,0.99763,-0.004455571,-0.06945808,0.9975749,3.095856,3.095856,1,1,1.34469,0.023278
0,Blue,-0.04478732,-0.05156048,0.9976651,-0.004440351,-0.0688941,0.9976141,3.095947,3.095947,1,1,1.366917,0.02222693
0,Blue,-0.04320196,-0.05138601,0.997744,-0.004989654,-0.06890911,0.9976104,3.068634,3.068634,1,1,1.388727,0.02181053
0,Blue,-0.04198931,-0.05145518,0.9977922,-0.006134054,-0.06907677,0.9975925,3.064133,3.064133,1,1,1.40956,0.02083278
0,Blue,-0.04102456,-0.05171355,0.9978189,-0.006347701,-0.06811572,0.9976572,3.056915,3.056915,1,1,1.432818,0.02325773
0,Blue,-0.04043459,-0.05185792,0.9978356,-0.006256165,-0.06808538,0.9976599,3.035904,3.035904,1,1,1.455135,0.02231717
0,Blue,-0.03983566,-0.05239198,0.9978317,-0.004989665,-0.06776484,0.9976889,3.021362,3.021362,1,1,1.477839,0.02270424
0,Blue,-0.03973556,-0.05310794,0.9977979,-0.004882842,-0.0673527,0.9977173,3.021149,3.021149,1,1,1.499093,0.02125418
0,Blue,-0.04010094,-0.05246321,0.9978174,-0.007736214,-0.06828316,0.997636,2.984528,2.984528,1,1,1.522301,0.02320826
0,Blue,-0.04009907,-0.05194464,0.9978445,-0.007446347,-0.06799369,0.997658,2.976028,2.976028,1,1,1.544184,0.02188218
0,Blue,-0.04011371,-0.05249997,0.997815,-0.007827811,-0.06819198,0.9976415,2.952545,2.952545,1,1,1.565732,0.02154875
0,Blue,-0.03966417,-0.05316767,0.9977975,-0.007202228,-0.06886367,0.9976001,2.935349,2.935349,1,1,1.589419,0.02368617
0,Blue,-0.03923692,-0.05315151,0.9978153,-0.007660025,-0.06764321,0.9976801,2.933868,2.933868,1,1,1.610817,0.02139807
0,Blue,-0.0393114,-0.0529044,0.9978255,-0.007568381,-0.06669636,0.9977446,2.93486,2.93486,1,1,1.63307,0.02225339
0,Blue,-0.03920257,-0.05313418,0.9978176,-0.007721029,-0.0672462,0.9977065,2.935242,2.935242,1,1,1.655931,0.02286112
0,Blue,-0.03933747,-0.05349249,0.9977931,-0.008071996,-0.06718525,0.9977079,2.928879,2.928879,1,1,1.677555,0.02162361
0,Blue,-0.03927436,-0.05416095,0.9977596,-0.00814821,-0.06732192,0.997698,2.926743,2.926743,1,1,1.699917,0.02236271
0,Blue,-0.03921289,-0.0550767,0.9977118,-0.008163562,-0.06692594,0.9977245,2.960648,2.960648,1,1,1.722503,0.02258575
0,Blue,-0.03911952,-0.05525225,0.9977058,-0.008041455,-0.06723084,0.997705,2.960312,2.960312,1,1,1.743987,0.02148342
0,Blue,-0.03876117,-0.0552473,0.9977201,-0.008560318,-0.06729233,0.9976966,2.929214,2.929214,1,1,1.766306,0.02231967
