Index,Color,Talking,Camera X,Camera Y,Camera Z,Combine Gaze X,Combine Gaze Y,Combine Gaze Z,Left Pupil Diameter,Right Pupil Diameter,Left Eye Openness,Right Eye Openness,Total Time,Delta Time
0,Black,FALSE,-0.07366679,-0.1518912,0.9856482,0.06332467,0.00730904,0.9979662,3.31842,3.31842,1,1,1.088019,0.02109051
0,Black,FALSE,-0.07132546,-0.1512217,0.9859233,0.05838037,0.01097111,0.9982342,3.338013,3.338013,1,1,1.110766,0.02274656
0,Black,FALSE,-0.07230984,-0.1506551,0.9859383,0.05509964,0.01139835,0.9984158,3.2948,3.2948,1,1,1.132738,0.0219717
0,Black,FALSE,-0.07400969,-0.1498937,0.9859282,0.05429104,0.01237494,0.9984485,3.278961,3.278961,1,1,1.154894,0.02215648
0,Black,FALSE,-0.07691419,-0.1484521,0.985924,0.05122442,0.01248185,0.9986092,3.284103,3.284103,1,1,1.177587,0.02269316
0,Black,FALSE,-0.08122202,-0.1465312,0.985866,0.04872138,0.02143863,0.9985823,3.259674,3.259674,1,1,1.199519,0.02193129
0,Black,FALSE,-0.08600883,-0.1443109,0.9857874,0.02645908,0.04692138,0.9985481,3.270447,3.270447,1,1,1.221462,0.02194297
0,Black,FALSE,-0.09047532,-0.1425845,0.9856389,0.03189103,0.04496789,0.9984793,3.321198,3.321198,1,1,1.243676,0.02221465
0,Black,FALSE,-0.09423351,-0.1409353,0.9855238,0.03117399,0.04225197,0.9986205,3.315094,3.315094,1,1,1.266477,0.0228008
0,Black,FALSE,-0.0968352,-0.1389112,0.9855591,0.03244043,0.03492764,0.9988632,3.268417,3.268417,1,1,1.289403,0.02292645
0,Black,FALSE,-0.09861325,-0.1374514,0.9855875,0.03912414,0.03257802,0.9987032,3.265472,3.265472,1,1,1.311642,0.02223897
0,Black,FALSE,-0.09954607,-0.1371843,0.9855309,0.0410924,0.03213539,0.9986385,3.244171,3.244171,1,1,1.332295,0.02065301
0,Black,FALSE,-0.09993304,-0.1372503,0.9854825,0.04068017,0.0304262,0.9987088,3.242676,3.242676,1,1,1.355152,0.02285683
0,Black,FALSE,-0.09948533,-0.1372432,0.9855288,0.04283155,0.02685555,0.9987213,3.228348,3.228348,1,1,1.377057,0.02190459
0,Black,FALSE,-0.09853236,-0.1372969,0.985617,0.04330504,0.02446017,0.9987624,3.223328,3.223328,1,1,1.400034,0.02297735
0,Black,FALSE,-0.09795003,-0.1375076,0.9856457,0.04212992,0.01762407,0.9989567,3.221603,3.221603,1,1,1.42017,0.02013588
0,Black,FALSE,-0.09677394,-0.1379643,0.985698,0.03945966,0.01766987,0.9990649,3.205902,3.205902,1,1,1.436851,0.01668131
0,Black,FALSE,-0.09605508,-0.1379205,0.9857745,0.03950553,0.01100173,0.9991588,3.176361,3.176361,1,1,1.455977,0.01912522
0,Black,FALSE,-0.095562,-0.1373376,0.9859037,0.04032905,0.01181032,0.9991167,3.178406,3.178406,1,1,1.478148,0.02217126
0,Black,FALSE,-0.09524136,-0.1368701,0.9859999,0.03962727,0.009887743,0.9991656,3.177612,3.177612,1,1,1.498916,0.02076793
0,Black,FALSE,-0.09517781,-0.1361935,0.9860996,0.0395511,0.009872516,0.9991688,3.154938,3.154938,1,1,1.522071,0.02315521
0,Black,FALSE,-0.09546033,-0.1343958,0.9863189,0.03933739,0.009399468,0.9991818,3.152756,3.152756,1,1,1.543696,0.02162528
0,Black,FALSE,-0.09599254,-0.1315725,0.986648,0.03862006,0.01104738,0.9991929,3.152588,3.152588,1,1,1.565491,0.02179492
0,Black,FALSE,-0.09655232,-0.1307666,0.9867004,0.03872691,0.009017968,0.9992092,3.152328,3.152328,1,1,1.588481,0.02298939
0,Black,FALSE,-0.0965258,-0.1309608,0.9866773,0.03915466,0.0106508,0.9991764,3.141037,3.141037,1,1,1.609441,0.02096045
0,Black,FALSE,-0.09648616,-0.1289024,0.9869522,0.04167193,0.01329046,0.9990429,3.152206,3.152206,1,1,1.632588,0.02314663
0,Black,FALSE,-0.09637461,-0.1270053,0.987209,0.04045123,0.0156861,0.9990584,3.162277,3.162277,1,1,1.654708,0.02211988
0,Black,FALSE,-0.09580715,-0.1270942,0.9872528,0.04066505,0.01257336,0.9990937,3.156952,3.156952,1,1,1.677251,0.02254331
0,Black,FALSE,-0.09564115,-0.1276644,0.9871953,0.04141251,0.0161286,0.9990119,3.177277,3.177277,1,1,1.698207,0.02095628
0,Black,FALSE,-0.0955596,-0.1273119,0.9872487,0.04011545,0.01664738,0.9990563,3.1754,3.1754,1,1,1.72125,0.02304304
0,Black,FALSE,-0.09538352,-0.1286857,0.9870877,0.02824437,0.005615305,0.9995853,3.171463,3.171463,1,1,1.744108,0.02285755
0,Black,FALSE,-0.09552881,-0.1307164,0.9868067,0.04899637,0.02746604,0.9984213,3.103149,3.103149,1,1,1.765972,0.02186382
0,Black,FALSE,-0.09625811,-0.1297799,0.9868594,0.04948469,0.02655053,0.9984219,3.103256,3.103256,1,1,1.788169,0.02219725
0,Black,FALSE,-0.09677887,-0.1289061,0.986923,0.05151417,0.0177614,0.9985143,3.105148,3.105148,1,1,1.808981,0.0208118
0,Black,FALSE,-0.09771031,-0.1274714,0.9870176,0.0532539,0.01248186,0.998503,3.100876,3.100876,1,1,1.823837,0.01485622
0,Black,FALSE,-0.09799036,-0.1267618,0.9870812,0.05337543,0.01150517,0.9985082,3.102005,3.102005,1,1,1.843964,0.02012765
0,Black,FALSE,-0.09833216,-0.1264512,0.9870871,0.05360482,0.009445312,0.9985176,3.100784,3.100784,1,1,1.865783,0.02181864
0,Black,TRUE,-0.09890079,-0.1262934,0.9870505,0.05317713,0.00950627,0.9985399,3.097992,3.097992,1,1,1.887221,0.02143776
0,Black,TRUE,-0.09928377,-0.1263122,0.9870096,0.05268922,0.006042551,0.9985927,3.092987,3.092987,1,1,1.908705,0.02148378
0,Black,TRUE,-0.09964078,-0.1265216,0.9869468,0.05941837,0.01293959,0.9981493,3.099777,3.099777,1,1,1.925567,0.01686192
0,Black,TRUE,-0.1000437,-0.1270373,0.9868398,0.06102004,0.01199344,0.9980645,3.100021,3.100021,1,1,1.943877,0.0183109
0,Black,TRUE,-0.1003515,-0.1271896,0.9867889,0.060837,0.01016239,0.998096,3.097092,3.097092,1,1,1.9655,0.02162302
0,Black,TRUE,-0.1002161,-0.1269786,0.9868299,0.0618598,0.009201149,0.9980425,3.097305,3.097305,1,1,1.988384,0.0228833
0,Black,TRUE,-0.1005013,-0.1264452,0.9868693,0.06156959,0.008300832,0.9980683,3.097702,3.097702,1,1,2.009411,0.02102757
0,Black,TRUE,-0.1009595,-0.1263265,0.9868377,0.06210392,0.009262181,0.9980267,3.11557,3.11557,1,1,2.032357,0.02294564
0,Black,FALSE,-0.1012623,-0.1265511,0.986778,0.06208871,0.009277448,0.9980276,3.126053,3.126053,1,1,2.054331,0.02197409
1,Blue,FALSE,-0.1036345,-0.1295922,0.9861368,0.04080226,0.0007476853,0.999167,3.45047,3.45047,1,1,2.577141,0.5228102
1,Blue,FALSE,-0.1035789,-0.1296816,0.9861309,0.04080226,0.0007476853,0.999167,3.437683,3.437683,1,1,2.577141,0
1,Blue,FALSE,-0.1036998,-0.1300002,0.9860762,0.04112261,-0.0029297,0.9991498,3.469193,3.469193,1,1,2.627661,0.05052018
1,Blue,FALSE,-0.1037925,-0.1297653,0.9860974,0.04103126,-0.002548241,0.9991546,3.453796,3.453796,1,1,2.640739,0.01307774
1,Blue,FALSE,-0.1041029,-0.1294262,0.9861093,0.04165712,-0.001953155,0.9991301,3.464432,3.464432,1,1,2.653723,0.01298332
