Color,Camera X,Camera Y,Camera Z,Combine Gaze X,Combine Gaze Y,Combine Gaze Z,Left Pupil Diameter,Right Pupil Diameter,Left Eye Openness,Right Eye Openness,Total Time,Delta Time
Red,-0.1109138,-0.2395509,0.9645276,0.07663085,0.06735336,0.994782,3.211044,3.211044,1,1,1.201162,0.02516389
Red,-0.114597,-0.2396644,0.9640687,0.0916452,0.07524183,0.992945,2.99527,2.99527,1,1,1.220669,0.01950717
Red,-0.1199545,-0.2403384,0.9632489,0.06683365,0.05819715,0.9960654,3.070938,3.070938,1,1,1.245649,0.02497995
Red,-0.1234574,-0.2387251,0.9632074,0.07286151,0.06361459,0.9953112,2.939407,2.939407,1,1,1.264457,0.01880836
Red,-0.1264721,-0.2350824,0.9637121,0.08352714,0.06874128,0.9941317,2.961151,2.961151,1,1,1.289152,0.02469528
Red,-0.1289492,-0.2311843,0.9643267,0.08017072,0.06118854,0.9949013,3.029633,3.029633,1,0.7511659,1.308637,0.019485
Red,-0.13085,-0.2273049,0.9649926,0.08276468,0.06622395,0.9943663,2.953537,2.953537,1,0.6247276,1.335862,0.02722454
Red,-0.1317101,-0.2211376,0.9663078,0.1201637,0.1147011,0.9861056,3.030594,3.030594,1,0.5967168,1.355117,0.01925528
Red,-0.1316763,-0.2134202,0.9680461,0.1163495,0.1260389,0.9851786,3.076767,3.076767,1,0.5867052,1.378989,0.02387214
Red,-0.1304559,-0.2072687,0.9695468,0.1131455,0.1121689,0.9872265,3.128098,3.128098,1,0.5963976,1.397822,0.01883233
Red,-0.1275477,-0.2046662,0.9704861,0.1118322,0.104569,0.98821,2.861618,2.861618,1,0.7743183,1.423791,0.02596927
Red,-0.1253994,-0.2037137,0.9709663,0.1165928,0.1152652,0.9864684,2.782562,2.782562,1,1,1.44244,0.01864886
Red,-0.1234694,-0.2044855,0.9710515,0.1289229,0.1467302,0.9807391,2.775269,2.775269,1,1,1.469623,0.02718377
Red,-0.1215915,-0.2101016,0.9700891,0.1231385,0.1356202,0.9830789,2.763321,2.763321,1,1,1.489352,0.01972806
Red,-0.1183795,-0.2193368,0.9684408,0.1099712,0.1070415,0.9881541,2.759018,2.759018,1,1,1.511541,0.0221895
Red,-0.1145707,-0.2254537,0.9674938,0.1054245,0.1046463,0.9889058,2.808594,2.808594,1,1,1.531193,0.01965201
Red,-0.111326,-0.2273199,0.9674358,0.09848126,0.09964094,0.9901379,2.904556,2.904556,1,1,1.557247,0.02605426
Red,-0.1072185,-0.2288167,0.967547,0.1039743,0.1089487,0.9885947,2.949982,2.949982,1,1,1.57507,0.0178225
Red,-0.1032348,-0.2280399,0.9681634,0.1179969,0.1443032,0.9824731,2.941971,2.941971,1,1,1.599792,0.02472234
Red,-0.09953916,-0.2259063,0.9690502,0.08293226,0.1327069,0.9876797,2.723053,2.723053,1,1,1.620111,0.02031839
Red,-0.09678908,-0.2258189,0.9693491,0.08166531,0.1329655,0.9877504,2.711395,2.711395,1,1,1.64667,0.02655995
Red,-0.09477085,-0.2259413,0.96952,0.08207781,0.1316388,0.9878939,2.851364,2.851364,1,1,1.665353,0.01868284
Red,-0.09301255,-0.2260282,0.96967,0.1015791,0.1390704,0.985059,2.882767,2.882767,1,1,1.690479,0.02512586
Red,-0.09130422,-0.2250631,0.9700568,0.09385792,0.1483019,0.9844782,2.90033,2.90033,1,1,1.708587,0.01810741
Red,-0.09004623,-0.2254969,0.9700736,0.09669646,0.1488823,0.9841158,2.897232,2.897232,1,1,1.733707,0.02512026
Red,-0.08865748,-0.2266494,0.9699329,0.1095438,0.1647506,0.9802333,2.906677,2.906677,1,1,1.753803,0.02009606
Red,-0.08717157,-0.226889,0.9700116,0.1089636,0.1636972,0.9804744,2.907654,2.907654,1,1,1.778632,0.02482879
Red,-0.08628737,-0.2257916,0.9703466,0.09986897,0.1668399,0.9809132,2.883972,2.883972,1,1,1.797635,0.01900315
Red,-0.08572868,-0.2241247,0.9707825,0.06616277,0.1396651,0.9879859,2.868637,2.868637,1,1,1.82443,0.02679515
Red,-0.0859952,-0.2218427,0.971283,0.06846633,0.1403354,0.987734,2.84761,2.84761,1,1,1.84236,0.01792991
Red,-0.08657254,-0.2193854,0.9717897,0.06700224,0.1274736,0.9895763,2.873611,2.873611,1,1,1.867535,0.02517462
Red,-0.08741173,-0.2166503,0.972328,0.07930017,0.149857,0.9855224,2.951309,2.951309,1,1,1.886189,0.01865447
Red,-0.0880162,-0.2144718,0.9727564,0.07833899,0.1506507,0.9854782,2.980545,2.980545,1,1,1.912236,0.02604747
Red,-0.08925506,-0.2133797,0.9728836,0.09021021,0.1773839,0.9799985,3.00148,3.00148,1,1,1.930912,0.01867604
Red,-0.09013287,-0.2135125,0.9727736,0.09666508,0.1855634,0.9778661,2.984604,2.984604,1,1,1.955922,0.02500963
Red,-0.09113382,-0.2154134,0.9722611,0.0952925,0.1581749,0.9828022,2.976547,2.976547,1,1,1.974172,0.01825011
Blue,-0.09170421,-0.2172977,0.9717881,0.08583131,0.1411601,0.986259,2.957367,2.957367,1,1,2.003032,0.0288595
