Index,Color,Talking,Camera X,Camera Y,Camera Z,Combine Gaze X,Combine Gaze Y,Combine Gaze Z,Left Pupil Diameter,Right Pupil Diameter,Left Eye Openness,Right Eye Openness,Total Time,Delta Time
0,Yellow,False,-0.1013552,-0.05441907,0.9933608,0.04776001,-0.0786438,0.9957581,3.108734,3.108734,1,1,1.118397,0.02214372
0,Yellow,False,-0.1013174,-0.055379,0.9933116,0.04757717,-0.07849164,0.9957789,3.092316,3.092316,1,1,1.140236,0.0218395
0,Yellow,False,-0.1014011,-0.05484215,0.9933329,0.04736363,-0.0778204,0.9958417,3.058258,3.058258,1,1,1.163553,0.02331722
0,Yellow,False,-0.1015241,-0.0530363,0.9934183,0.04728765,-0.07679857,0.9959247,3.032043,3.032043,1,1,1.185633,0.02207994
0,Yellow,False,-0.1018192,-0.0519345,0.9934464,0.04686013,-0.07713382,0.9959189,3.008591,3.008591,1,1,1.207436,0.0218029
0,Yellow,False,-0.1022817,-0.05182629,0.9934046,0.0465705,-0.07762258,0.9958946,2.991241,2.991241,1,1,1.22839,0.02095342
0,Yellow,False,-0.102409,-0.04963573,0.9935032,0.04461677,-0.07415783,0.9962479,2.959976,2.959976,1,1,1.251964,0.02357471
0,Yellow,False,-0.102224,-0.04841029,0.9935828,0.04519667,-0.07501244,0.9961578,2.959122,2.959122,1,1,1.274349,0.02238452
0,Yellow,False,-0.1020153,-0.04724598,0.9936602,0.04522739,-0.07594355,0.9960859,2.947189,2.947189,1,1,1.296727,0.02237773
0,Yellow,False,-0.1014697,-0.04620752,0.9937649,0.04556277,-0.08273319,0.9955297,2.893692,2.893692,1,1,1.318495,0.02176797
0,Yellow,False,-0.1006204,-0.04490853,0.9939108,0.02874782,-0.07328863,0.9968964,2.679001,2.679001,1,1,1.340037,0.02154255
0,Yellow,False,-0.1001919,-0.04379693,0.9940038,0.03385944,-0.05410797,0.9979609,2.859787,2.859787,1,1,1.35996,0.01992297
0,Yellow,False,-0.09922586,-0.04176163,0.9941882,0.0374451,-0.04998783,0.9980476,2.730682,2.730682,1,1,1.379028,0.01906741
0,Yellow,False,-0.09879217,-0.04226136,0.9942102,0.03175377,-0.05337564,0.9980695,2.729095,2.729095,1,1,1.396028,0.01700032
0,Yellow,False,-0.09840691,-0.04517653,0.9941203,0.03035016,-0.05349806,0.9981067,2.696091,2.696091,1,1,1.417047,0.0210191
0,Yellow,False,-0.09865573,-0.04645829,0.9940366,0.02865621,-0.05987591,0.9977944,2.695526,2.695526,1,1,1.440822,0.0237745
0,Yellow,False,-0.09810711,-0.04568321,0.9941268,0.02803073,-0.05932687,0.997845,2.677704,2.677704,1,1,1.463421,0.02259994
0,Yellow,False,-0.09754501,-0.04578722,0.9941773,0.02807635,-0.05888403,0.99787,2.675644,2.675644,1,1,1.485714,0.02229285
0,Yellow,False,-0.09710703,-0.04697755,0.9941646,0.02793926,-0.05957121,0.997833,2.673111,2.673111,1,1,1.5077,0.02198541
0,Yellow,False,-0.09669159,-0.04800434,0.9941561,0.02687081,-0.06076069,0.9977906,2.658478,2.658478,1,1,1.529543,0.02184296
0,Yellow,False,-0.09634492,-0.0478088,0.9941992,0.02612335,-0.06144785,0.9977684,2.657608,2.657608,1,1,1.551753,0.02221012
0,Yellow,False,-0.0965054,-0.04817341,0.994166,0.02684022,-0.06031801,0.9978183,2.655991,2.655991,1,1,1.573397,0.02164423
0,Yellow,False,-0.09661996,-0.048631,0.9941326,0.02612311,-0.05958571,0.9978814,2.640335,2.640335,1,1,1.596431,0.02303398
0,Yellow,True,-0.09700885,-0.04848116,0.9941021,0.02522307,-0.05905218,0.9979362,2.629303,2.629303,1,1,1.618725,0.02229428
0,Yellow,True,-0.09740798,-0.04815853,0.9940787,0.02404802,-0.0596165,0.9979317,2.618729,2.618729,1,1,1.639382,0.02065706
0,Yellow,True,-0.09771426,-0.04808201,0.9940524,0.02421589,-0.05978441,0.9979175,2.619812,2.619812,1,1,1.662153,0.02277017
0,Yellow,True,-0.09809355,-0.04917971,0.9939613,0.02413971,-0.05947952,0.9979376,2.61145,2.61145,1,1,1.684157,0.02200437
0,Yellow,True,-0.09815652,-0.05143667,0.9938408,0.02497888,-0.06045591,0.9978583,2.61142,2.61142,1,1,1.707142,0.02298558
0,Yellow,True,-0.09833383,-0.05218222,0.9937844,0.02475008,-0.06074604,0.9978464,2.608536,2.608536,1,1,1.728132,0.02098966
0,Yellow,True,-0.0986255,-0.05198137,0.9937661,0.02407862,-0.06056275,0.997874,2.611298,2.611298,1,1,1.745006,0.01687396
0,Yellow,True,-0.09901125,-0.05057065,0.9938005,0.02407844,-0.06143206,0.9978208,2.613068,2.613068,1,1,1.761943,0.01693702
