Color,Camera X,Camera Y,Camera Z,Combine Gaze X,Combine Gaze Y,Combine Gaze Z,Left Pupil Diameter,Right Pupil Diameter,Left Eye Openness,Right Eye Openness,Total Time,Delta Time
Black,-0.1435764,-0.09389361,0.985175,0,0,1,0,0,0,0,0,0
Black,-0.1435764,-0.09389361,0.985175,-0.1684893,-0.0804299,0.9824166,5.504333,5.504333,0.8435147,0.3334221,0.02,0.02
Black,0.1592423,-0.04908558,0.9860185,-0.2380072,0.03674325,0.9705682,5.672211,5.672211,0.4474345,0.3143989,0.3520396,0.3320396
Black,0.2003004,-0.06227743,0.9777532,-0.2248249,0.04679909,0.9732746,5.70694,5.70694,0.6032056,0.3177011,0.4069295,0.05488989
Black,0.2013761,-0.06583185,0.9772993,-0.2226735,0.04118383,0.9740228,5.599533,5.599533,0.4501837,0.3001293,0.4323137,0.02538422
Black,0.2024208,-0.0667539,0.9770208,-0.2208576,0.05537462,0.9737328,5.691467,5.691467,0.4479529,0.3531458,0.4530163,0.0207026
Black,0.2033522,-0.06734531,0.9767868,-0.2307137,0.05859395,0.9712558,5.683701,5.683701,0.5312753,0.3400464,0.4778306,0.02481428
Black,0.2035092,-0.06739126,0.9767509,-0.2393833,0.05180433,0.9695421,5.697144,5.697144,0.4241006,0.3238812,0.4973398,0.0195092
Black,0.2023457,-0.06830596,0.9769291,-0.2424818,0.05131622,0.9687979,5.667282,5.667282,0.5146895,0.3986602,0.5231951,0.0258553
Black,0.1998749,-0.06991518,0.9773238,-0.241305,0.05377253,0.9689584,5.651428,5.651428,0.4375674,0.3496763,0.5423418,0.01914674
Black,0.196837,-0.07156806,0.9778206,-0.2551457,0.04278623,0.9659555,5.344299,5.344299,0.4436032,0.3588576,0.5679581,0.02561629
Black,0.1932068,-0.07284792,0.9784499,-0.1890731,0.003646878,0.9819562,5.176224,5.176224,0.5643218,0.4056921,0.5855214,0.01756328
Black,0.1887616,-0.07452992,0.9791906,-0.1953604,-0.03770488,0.9800065,5.159409,5.159409,0.5207347,0.3583639,0.6113782,0.02585679
Black,0.1834942,-0.07636238,0.9800503,-0.1992977,-0.03065531,0.9794593,5.136795,5.136795,0.5277357,0.4314569,0.6309347,0.01955652
Black,0.1777344,-0.07805716,0.9809778,-0.1866481,-0.02412449,0.9821306,5.126358,5.126358,0.5801324,0.4980763,0.6570195,0.02608478
Black,0.1706927,-0.08036851,0.9820412,-0.1612102,-0.01147468,0.9868534,4.97879,4.97879,0.5190824,0.4615557,0.6753258,0.01830631
Black,0.1625562,-0.08186469,0.9832973,-0.1461037,-0.003463764,0.9892632,4.962906,4.962906,0.5643247,0.4640567,0.7012581,0.02593231
Black,0.1536252,-0.08244833,0.9846835,-0.1484395,-0.005722123,0.9889049,4.933975,4.933975,0.5563356,0.4041724,0.7192015,0.01794338
Black,0.1442863,-0.08266064,0.9860774,-0.1652087,-0.01799031,0.9860945,4.904831,4.904831,0.7466211,0.3655168,0.7463274,0.0271259
Black,0.1343398,-0.08263557,0.9874837,-0.1569836,-0.02687092,0.9872355,4.837585,4.837585,0.8359595,0.3900508,0.76447,0.01814258
Black,0.1240145,-0.08265527,0.9888319,-0.1366598,-0.0059205,0.9906003,4.77417,4.77417,0.9074315,0.3144422,0.7900486,0.02557862
Black,0.1134701,-0.08254997,0.9901061,-0.1299758,-0.003280676,0.9915117,4.643585,4.643585,0.6037409,0.3701575,0.8084232,0.01837462
Black,0.1032774,-0.08290797,0.9911912,-0.1360949,-0.01496906,0.9905827,4.582581,4.582581,0.7394252,0.3429346,0.8341798,0.0257566
Black,0.09380123,-0.08316491,0.9921114,-0.1155716,-0.005401685,0.9932844,4.497284,4.497284,0.7398599,0.3727508,0.8531016,0.01892179
Black,0.08500809,-0.08304501,0.9929134,-0.1099553,-0.01150517,0.99387,4.458694,4.458694,0.8377491,0.3207773,0.8782763,0.02517468
Black,0.0771885,-0.08208271,0.9936319,-0.1276856,-0.03871157,0.9910589,4.428925,4.428925,0.8136456,0.3192175,0.8969992,0.01872289
Black,0.06971772,-0.08116288,0.9942595,-0.1195836,-0.04418962,0.9918402,4.315796,4.315796,0.8227401,0.3322825,0.9234064,0.02640724
Black,0.06231603,-0.08055516,0.9948002,-0.07124352,-0.01931769,0.9972719,4.307693,4.307693,0.833548,0.3288865,0.9442143,0.02080786
Black,0.05503053,-0.08026015,0.9952537,-0.05575587,-0.01069646,0.9983872,4.271606,4.271606,0.8412218,0.2526528,0.9672071,0.02299279
Black,0.04806515,-0.08034613,0.9956075,-0.06771901,-0.00793463,0.9976729,4.188766,4.188766,0.919075,0.2008823,0.9864493,0.01924223
Black,0.04153141,-0.08133329,0.9958213,-0.09265258,-0.0966657,0.990995,4.010605,4.010605,0.6902059,0.3908827,1.011376,0.02492684
Black,0.0353432,-0.08359039,0.9958732,-0.1312886,-0.2626535,0.9559166,4.008652,4.008652,1,0.4241919,1.03048,0.01910388
Black,0.02888604,-0.08667,0.9958183,-0.1301289,-0.278645,0.9515374,4.038177,4.038177,0.7255896,0.3094982,1.05649,0.02600968
Black,0.02259896,-0.08847578,0.995822,-0.118486,-0.2651249,0.9569064,4.076508,4.076508,0.4437744,0.01984289,1.075188,0.01869845
Black,0.01666069,-0.08805095,0.9959766,-0.1096198,-0.251497,0.9616303,4.141907,4.141907,0.33857,0.04078718,1.100189,0.02500129
Black,0.01092923,-0.08652911,0.9961894,-0.09712331,-0.2399777,0.9659077,4.138504,4.138504,0.4358325,0.04819258,1.118228,0.01803863
Black,0.006207874,-0.08444215,0.9964091,-0.093507,-0.2393218,0.9664272,4.095428,4.095428,0.4410656,0.08825429,1.144647,0.02641869
Black,0.002619683,-0.08246031,0.9965909,-0.08915877,-0.2437484,0.9657315,4.085541,4.085541,0.4181618,0.1443167,1.164633,0.01998591
Black,0.0003489624,-0.0811883,0.9966987,-0.09176738,-0.2449216,0.9651902,4.0616,4.0616,0.379884,0.2069423,1.190503,0.0258702
Black,-0.001177082,-0.0821548,0.9966188,-0.1026313,-0.2518175,0.9623174,4.031143,4.031143,0.3712128,0.2213866,1.209119,0.01861572
Black,-0.002111978,-0.08377859,0.9964822,-0.09098954,-0.254902,0.9626764,3.898941,3.898941,0.3015943,0.196156,1.233121,0.02400231
Black,-0.002095234,-0.08554436,0.9963322,-0.06442361,-0.1506829,0.9864807,3.829712,3.829712,0.189863,0,1.253421,0.02030039
Black,-0.000544771,-0.0868768,0.9962189,-0.05143804,-0.01396197,0.9985786,4.017746,4.017746,0.8340382,0,1.278478,0.02505636
Black,0.001505189,-0.0876302,0.9961519,-0.0467689,0.08915847,0.9949188,3.93515,3.93515,1,0,1.295257,0.01677895
Black,0.00384415,-0.08685316,0.9962137,-0.054734,0.06709378,0.9962443,3.881699,3.881699,1,0,1.323071,0.02781487
Black,0.006636106,-0.08531952,0.9963316,-0.08511459,0.04657041,0.9952822,3.862595,3.862595,1,0.1,1.341162,0.01809061
Black,0.009383241,-0.08440948,0.9963869,-0.09115729,0.04997324,0.9945819,3.971619,3.971619,1,0.2413906,1.366649,0.02548647
Black,0.01258417,-0.08514449,0.9962892,-0.04335042,0.07547033,0.9962053,3.905151,3.905151,1,0.499572,1.384657,0.01800871
Black,0.01639079,-0.0867018,0.9960995,-0.04760787,0.07153387,0.9963014,3.925461,3.925461,1,0.7241347,1.411946,0.02728903
Black,0.02049971,-0.08912069,0.9958099,-0.08131476,0.05271955,0.9952932,3.920944,3.920944,1,1,1.430642,0.01869595
Black,0.02437323,-0.09163214,0.9954945,-0.08174147,0.05070504,0.9953629,3.921204,3.921204,1,1,1.456673,0.02603102
Black,0.02821877,-0.09293082,0.9952726,-0.07504366,0.05413886,0.9957095,4.013504,4.013504,1,1,1.475552,0.01887882
Black,0.03171225,-0.09304104,0.9951571,-0.07223589,0.05653442,0.995784,4.145523,4.145523,1,1,1.500651,0.0250988
Black,0.03507166,-0.09156979,0.9951808,-0.0596473,0.0741128,0.9954644,3.903976,3.903976,1,1,1.519591,0.01894057
Black,0.03767309,-0.08908306,0.9953114,-0.07560767,0.06571993,0.9949695,3.95993,3.95993,1,1,1.546879,0.02728748
Black,0.04056806,-0.0860883,0.9954612,-0.08775409,0.0629736,0.9941496,3.958572,3.958572,1,1,1.565147,0.01826775
Black,0.04238239,-0.08311074,0.9956386,-0.08743414,0.05595479,0.9945976,3.925888,3.925888,1,1,1.589243,0.02409673
Black,0.04338674,-0.07898029,0.9959316,-0.09027224,0.04914924,0.9947037,3.914764,3.914764,1,1,1.608317,0.01907349
Black,0.04468383,-0.07591458,0.9961126,-0.09208772,0.04045146,0.9949289,3.903397,3.903397,1,1,1.632213,0.02389634
Black,0.0459213,-0.0732457,0.9962561,-0.09228587,0.04861488,0.994545,3.88858,3.88858,1,1,1.651457,0.0192436
Black,0.04579826,-0.07040781,0.9964664,-0.0942851,0.04588369,0.9944873,3.886139,3.886139,1,1,1.67808,0.02662325
Black,0.04412804,-0.06732111,0.996755,-0.09481921,0.04338124,0.9945489,3.819611,3.819611,1,1,1.697124,0.01904368
Black,0.04197181,-0.06419986,0.997054,-0.08824172,0.05088814,0.9947984,3.801224,3.801224,1,1,1.722665,0.02554142
Black,0.0392361,-0.06184253,0.9973144,-0.08894472,0.05180431,0.9946885,3.789978,3.789978,1,1,1.742196,0.01953125
